name,shade,price,image,,,,,,,,,,,id
kay ,pink,350,https://images-static.nykaa.com/media/catalog/product/f/2/f2ad189KAYBE00000053_2.jpg,,,,,,,,,,,1
maybelline,red,400,"https://images-static.nykaa.com/media/catalog/product/4/9/49f98a38904245703233_1.jpg?tr=w-500,pr-true",,,,,,,,,,,2
nykaa,pink,500,https://beautypalace.s3.amazonaws.com/images/salontrix/8904245703226p,,,,,,,,,,,3
nykaa,berry,300,https://www.nykaa.com/beauty-blog/wp-content/uploads/images/issue219/Blush-It-Up.jpg,,,,,,,,,,,4
nykaa,redish,400,"https://images-static.nykaa.com/media/catalog/product/1/7/17fb8a38904245703226_3.jpg?tr=w-500,pr-true",,,,,,,,,,,5
nykaa,redish,400,"https://images-static.nykaa.com/media/catalog/product/1/7/17fb8a38904245703226_3.jpg?tr=w-500,pr-true",,,,,,,,,,,6
flower,rose,300,"https://images-static.nykaa.com/media/catalog/product/9/9/9903aefFLOWE00000040_1.jpg?tr=w-500,pr-true",,,,,,,,,,,7
flowers,berry,100,https://images-static.nykaa.com/media/catalog/product/d/9/d98a61c840797106000_1.jpg,,,,,,,,,,,8
kay ,floral,500,https://images-static.nykaa.com/media/catalog/product/8/9/8904330900714_1.jpg,,,,,,,,,,,9
s,s,100,"https://images-static.nykaa.com/media/catalog/product/f/2/f2ad189KAYBE00000053_3.jpg?tr=w-500,pr-true",,,,,,,,,,,10
t,t,50,https://images-static.nykaa.com/media/catalog/product/8/9/8904245709471_1_3.jpg,,,,,,,,,,,11
r,r,10,https://images-static.nykaa.com/media/catalog/product/8/9/8904245709471_1_3.jpg,,,,,,,,,,,12
w,w,3,https://images-static.nykaa.com/media/catalog/product/8/9/8904245709471_1_3.jpg,,,,,,,,,,,13
f,floral,4,https://images-static.nykaa.com/media/catalog/product/8/9/8904245709471_1_3.jpg,,,,,,,,,,,14
q,q,1,https://images-static.nykaa.com/media/catalog/product/8/9/8904245709471_1_3.jpg,,,,,,,,,,,15
j,j,7,https://images-static.nykaa.com/media/catalog/product/8/9/8904245709471_1_3.jpg,,,,,,,,,,,16
o,o,9,https://images-static.nykaa.com/media/catalog/product/8/9/8904245709471_1_3.jpg,,,,,,,,,,,17
kay ,k,6,https://images-static.nykaa.com/media/catalog/product/8/9/8904245709471_1_3.jpg,,,,,,,,,,,18
m,m,5,https://images-static.nykaa.com/media/catalog/product/8/9/8904245709471_1_3.jpg,,,,,,,,,,,19
a,a,1,https://images-static.nykaa.com/media/catalog/product/8/9/8904245709471_1_3.jpg,,,,,,,,,,,20
tt,tt,5,https://images-static.nykaa.com/media/catalog/product/8/9/8904245709471_1_3.jpg,,,,,,,,,,,21
